TF	accession	% target	% background	method
RBM22	GSE120104			method1
AGO1	GSE120104			method1
HNRNPL	GSE120104			method1
HNRNPK	GSE120104			method1
RBM39	GSE120104			method1
GTF2F1	GSE120104			method1
FUS	GSE120104			method1
SRSF1	GSE120104			method1
HNRNPLL	GSE120104			method1
HNRNPUL1	GSE120104			method1
PTBP1	GSE120104			method1
XRCC5	GSE120104			method1
SAFB	GSE120104			method1
FIP1L1	GSE120104			method1
PCBP1	GSE120104			method1
SRSF4	GSE120104			method1
SRSF3	GSE120104			method1
U2AF1	GSE120104			method1
NONO	GSE120104			method1
HNRNPC	GSE120104			method1
SRSF7	GSE120104			method1
CCAR2	GSE120104			method1
SAFB2	GSE120104			method1
SRSF9	GSE120104			method1
MAX	ENCSR000EFV			method1
CTCF	GSE131349	39.77	37.42	method1
CTCF	GSE90691	50.15	45.38	method1
TARDBP	ENCSR429XTR			method1
ZNF281	GSE121133	59.35	53.26	method1
ZNF148	GSE121133			method1
RBM22	ENCSR848AOP			method1
BRD3	GSE140325			method1
BRD2	GSE140325			method1
BRD4	GSE140325			method1
HDAC1	GSE140325			method1
HDAC2	GSE140325			method1
YY1	ENCSR000BKU	30.89	26.61	method1
SRF	ENCSR000BLK			method1
CEBPB	ENCSR000BRQ	9.00	7.18	method1
NR3C1	ERP007081	3.34	2.94	method1
NFYB	GSE26439	11.37	4.51	method1
NFYA	GSE26439	3.77	1.41	method1
ERG	GSE23730	26.06	17.97	method1
TRIM28	ENCSR000BRW			method1
NR2F2	ENCSR000BRS			method1
BRD4	GSE99178			method1
BRD4	GSE138084			method1
BRD2	GSE138084			method1
BRD3	GSE138084			method1
ZFX	ENCSR920ASP			method1
PHF8	ENCSR000AQH			method1
PML	ENCSR000BQY			method1
ZNF18	GSE97661			method1
NRF1	GSE97661	5.25	1.64	method1
NFIA	GSE97661	33.71	32.26	method1
ZMYM3	GSE97661			method1
MED1	GSE97661			method1
ZNF639	GSE97661			method1
ZNF410	GSE97661			method1
FOXO3	GSE97661			method1
ZNF75A	GSE97661			method1
EZH2	GSE97661			method1
DPF1	GSE97661			method1
CTCF	GSE70482	40.10	38.92	method1
SPI1	GSE70482	1.05	0.90	method1
REST	GSE70482	0.89	0.15	method1
TBP	GSE55306			method1
GTF2F1	ENCSR377BLZ			method1
CREB1	ENCSR000BSO	10.25	4.85	method1
HNRNPLL	ENCSR112RNT			method1
NELFE	GSE112379			method1
NELFA	GSE112379			method1
SMAD5	ENCSR000FCD	5.53	4.86	method1
SIN3A	ENCSR920BLG			method1
TAF1	ENCSR000BKS	12.23	10.24	method1
CREM	ENCSR077DKV	8.95	5.44	method1
KDM4B	ENCSR642VZY			method1
SMAD1	ENCSR038DJJ			method1
HDAC1	ENCSR000AQF			method1
ZBTB7A	GSE103445	12.34	11.06	method1
E2F1	ENCSR720HUL	7.62	6.52	method1
YY1	ENCSR000BMH	34.57	27.10	method1
KDM5B	ENCSR000AQA			method1
ZKSCAN1	ENCSR882ERE	12.40	11.08	method1
GFI1B	ENCSR509GDT			method1
NEUROD1	ENCSR986CDX	1.48	1.19	method1
TBP	ENCSR000EHA			method1
ATF3	ENCSR000BNU	8.09	3.71	method1
NFYB	ENCSR000EGQ	13.27	4.01	method1
HCFC1	ENCSR000EFN			method1
ZHX1	ENCSR557RVF			method1
MBD2	ENCSR221GAN	24.93	22.88	method1
RBBP5	ENCSR000AQI			method1
MYC	ENCSR000EZV	4.92	3.98	method1
SIN3B	ENCSR887ZEN			method1
NFE2L2	ENCSR485GKE			method1
YY1	ENCSR000EWF	46.79	25.95	method1
THAP1	ENCSR000BNN			method1
JUND	ENCSR000EGN	5.27	4.46	method1
MAZ	ENCSR000EFX	64.05	59.46	method1
MAZ	ENCSR163IUV	65.76	60.99	method1
CHD2	ENCSR000EHD			method1
JUNB	ENCSR000DJY	4.12	2.95	method1
CTCF	GSE92879	42.43	40.27	method1
REST	ENCSR000BMW	0.50	0.18	method1
ZMIZ1	ENCSR000EFQ			method1
TBL1XR1	ENCSR000EGB			method1
ATF1	ENCSR159OCC	35.56	15.83	method1
EGR1	ENCSR000BNE	33.70	26.87	method1
MYC	ENCSR000DLZ	4.50	4.05	method1
TAL1	ENCSR000EHB	1.02	0.79	method1
ZBTB12	ENCSR172OSX	31.18	27.64	method1
NFE2	ENCSR000FCC	2.14	1.28	method1
ATF1	ENCSR000DNZ	23.39	15.48	method1
UBTF	ENCSR000EFZ			method1
ATF2	ENCSR869IUD	12.40	6.72	method1
JUN	ENCSR000FAH	3.37	2.36	method1
PRPF4	ENCSR220YXI			method1
CTCF	ENCSR000EGM	42.32	40.67	method1
JUN	ENCSR000EFS	3.06	2.33	method1
MYC	ENCSR000EGS	4.34	3.86	method1
CBX1	ENCSR948QLZ			method1
ATF3	ENCSR000DOG	15.06	3.57	method1
IRF1	ENCSR000EGT			method1
E2F4	ENCSR000EWL	0.41	0.27	method1
RFX5	ENCSR000EGO	8.18	5.93	method1
NRF1	ENCSR837EYC	3.57	1.56	method1
EP300	ENCSR000EGE			method1
CEBPD	ENCSR000BVY	13.65	12.58	method1
MYC	ENCSR000FAG	4.21	3.78	method1
HMGN3	ENCSR000DOB			method1
SIN3A	ENCSR000BLR			method1
ZNF639	ENCSR845BCL			method1
NFYA	ENCSR000EGR	11.67	1.55	method1
CCNT2	ENCSR000DOA			method1
GABPA	ENCSR000BLO	35.34	22.92	method1
IRF2	ENCSR376WCJ	0.45	0.14	method1
ETS1	ENCSR000BKQ	2.78	1.73	method1
ZNF384	ENCSR000EFP	32.25	31.12	method1
MXI1	ENCSR000EGZ			method1
ELF1	ENCSR000BMD	33.68	22.68	method1
BHLHE40	ENCSR000EGV	7.02	4.33	method1
SP1	ENCSR000BKO	17.54	11.77	method1
TCF7	ENCSR863KUB			method1
AGO1	ENCSR641BSL			method1
FOS	ENCSR000FAI	6.02	3.54	method1
ZBED1	ENCSR286PCG	0.26	0.17	method1
CBX5	ENCSR272JAT			method1
USF1	ENCSR000BKT	3.53	1.55	method1
MAFK	ENCSR000EGX	0.40	0.23	method1
CTCF	ENCSR000DWE	42.16	40.10	method1
RB1	ENCSR506CVF			method1
TARDBP	ENCSR353HEP			method1
SREBF1	ENCSR815ZDS	11.14	6.27	method1
MAFF	ENCSR000EGI	4.11	3.13	method1
CTCFL	ENCSR000BNK	48.56	44.03	method1
MYC	ENCSR000FAZ	5.37	3.88	method1
MYC	ENCSR000EZU	4.27	3.76	method1
CEBPB	ENCSR000EHE	9.00	7.27	method1
IKZF1	ENCSR395HWC			method1
NCOA1	ENCSR711SNW			method1
ILF3	GSE103215			method1
ZSCAN29	ENCSR175SZH	1.01	0.75	method1
ZSCAN29	ENCSR635EXI			method1
CREBBP	ENCSR000ATT			method1
NR2C2	ENCSR750LYM	8.50	7.14	method1
GABPA	ENCSR290MUH	41.85	22.08	method1
ZBTB11	ENCSR706BJO			method1
ZBTB7A	ENCSR000BME	14.19	12.68	method1
ZBTB11	ENCSR331GDC			method1
UBTF	ENCSR000EFW			method1
CBFA2T2	ENCSR699PVC			method1
GATA2	ENCSR000EWG	10.59	8.48	method1
KDM1A	ENCSR908CMW			method1
MAX	ENCSR000FAE	3.41	2.28	method1
GMEB1	ENCSR928KOR			method1
BCOR	ENCSR808AKZ			method1
MCM7	ENCSR038RGL			method1
MTA1	ENCSR807BGP			method1
GATA1	GSE107726	8.54	7.71	method1
TAL1	GSE107726	1.07	0.82	method1
GATA1	GSE132212	8.76	7.98	method1
CTCF	GSE132212	39.50	37.66	method1
TAL1	GSE132212	0.98	0.83	method1
ZNF263	ENCSR000EWN	66.98	61.55	method1
