TF	accession	% target	% background	method
MCM5	ENCSR628APV			method2
ZBTB5	ENCSR389PWB			method2
ZBTB33	ENCSR876GXA	6.15	5.05	method2
EGR1	ENCSR211LTF	52.67	36.13	method2
ZNF639	ENCSR497VFH			method2
EGR1	ENCSR024CNP	57.53	37.46	method2
NR2C1	ENCSR178DEG	3.71	2.26	method2
HDAC2	ENCSR893WSB			method2
MTA3	ENCSR914NEI			method2
ZNF592	ENCSR249BHQ			method2
HES1	ENCSR091JXL	54.93	37.61	method2
HDGF	ENCSR197ALX			method2
DPF2	ENCSR219BXP			method2
NCOR1	ENCSR298JCG			method2
ZBTB2	ENCSR230PTV	13.11	6.99	method2
L3MBTL2	ENCSR530XQI			method2
CTBP1	ENCSR201NQZ			method2
SKIL	ENCSR336DXE			method2
SMARCA5	ENCSR895HSJ			method2
ATF3	ENCSR028UIU	20.87	3.63	method2
NCOR1	ENCSR910JAI			method2
NFIC	ENCSR796ITY			method2
ARID1B	ENCSR822CCM			method2
HDAC2	ENCSR075HTM			method2
BRD9	ENCSR177XCS			method2
CTCF	GSE137216	71.38	55.96	method2
CTCF	ENCSR000AKO	71.10	56.13	method2
CTCF	GSE70764	77.82	67.40	method2
CTCFL	GSE70764	71.64	64.40	method2
CTCF	ENCSR000BPJ	72.21	55.19	method2
CTCF	ENCSR000DMA	72.14	56.77	method2
SETDB1	ENCSR000EWI			method2
RAD21	ENCSR000BKV			method2
E2F6	ENCSR000EWJ	74.85	69.28	method2
MYC	ENCSR000EGJ			method2
E2F6	ENCSR000BLI	77.51	70.04	method2
RBFOX2	ENCSR822LBD			method2
RBFOX2	GSE120104			method2
TARDBP	GSE120104			method2
PCBP2	GSE120104			method2
TAF15	GSE120104			method2
PRPF4	GSE120104			method2
SNRNP70	GSE120104			method2
RBM22	GSE120104			method2
AGO1	GSE120104			method2
HNRNPL	GSE120104			method2
HNRNPK	GSE120104			method2
RBM39	GSE120104			method2
GTF2F1	GSE120104			method2
FUS	GSE120104			method2
SRSF1	GSE120104			method2
HNRNPLL	GSE120104			method2
HNRNPUL1	GSE120104			method2
PTBP1	GSE120104			method2
XRCC5	GSE120104			method2
SAFB	GSE120104			method2
FIP1L1	GSE120104			method2
PCBP1	GSE120104			method2
SRSF4	GSE120104			method2
SRSF3	GSE120104			method2
U2AF1	GSE120104			method2
NONO	GSE120104			method2
HNRNPC	GSE120104			method2
SRSF7	GSE120104			method2
CCAR2	GSE120104			method2
SAFB2	GSE120104			method2
SRSF9	GSE120104			method2
MAX	ENCSR000EFV			method2
CTCF	GSE131349	73.53	55.82	method2
CTCF	GSE90691	82.23	59.64	method2
TARDBP	ENCSR429XTR			method2
ZNF281	GSE121133	76.24	61.48	method2
ZNF148	GSE121133			method2
RBM22	ENCSR848AOP			method2
BRD3	GSE140325			method2
BRD2	GSE140325			method2
BRD4	GSE140325			method2
HDAC1	GSE140325			method2
HDAC2	GSE140325			method2
YY1	ENCSR000BKU	37.48	25.31	method2
SRF	ENCSR000BLK	0.20	0.04	method2
CEBPB	ENCSR000BRQ	16.53	6.20	method2
NR3C1	ERP007081			method2
NFYB	GSE26439	20.39	5.68	method2
NFYA	GSE26439	7.05	1.76	method2
ERG	GSE23730	35.70	19.25	method2
TRIM28	ENCSR000BRW			method2
NR2F2	ENCSR000BRS			method2
BRD4	GSE99178			method2
BRD4	GSE138084			method2
BRD2	GSE138084			method2
BRD3	GSE138084			method2
ZFX	ENCSR920ASP			method2
PHF8	ENCSR000AQH			method2
PML	ENCSR000BQY			method2
ZNF18	GSE97661			method2
NRF1	GSE97661	9.39	2.09	method2
NFIA	GSE97661	34.63	30.83	method2
ZMYM3	GSE97661			method2
MED1	GSE97661			method2
ZNF639	GSE97661			method2
ZNF410	GSE97661			method2
FOXO3	GSE97661			method2
ZNF75A	GSE97661	14.98	13.54	method2
EZH2	GSE97661			method2
DPF1	GSE97661			method2
CTCF	GSE70482	73.23	58.34	method2
SPI1	GSE70482	1.35	0.60	method2
REST	GSE70482	1.12	0.22	method2
TBP	GSE55306			method2
GTF2F1	ENCSR377BLZ			method2
CREB1	ENCSR000BSO	16.21	6.02	method2
HNRNPLL	ENCSR112RNT			method2
NELFE	GSE112379			method2
NELFA	GSE112379			method2
SMAD5	ENCSR000FCD	5.48	4.84	method2
SIN3A	ENCSR920BLG			method2
TAF1	ENCSR000BKS	15.67	12.66	method2
CREM	ENCSR077DKV	14.99	6.85	method2
KDM4B	ENCSR642VZY			method2
SMAD1	ENCSR038DJJ			method2
HDAC1	ENCSR000AQF			method2
ZBTB7A	GSE103445	16.91	14.36	method2
E2F1	ENCSR720HUL	12.36	9.18	method2
YY1	ENCSR000BMH	44.27	25.57	method2
KDM5B	ENCSR000AQA			method2
ZKSCAN1	ENCSR882ERE	12.94	10.55	method2
GFI1B	ENCSR509GDT			method2
NEUROD1	ENCSR986CDX			method2
TBP	ENCSR000EHA			method2
ATF3	ENCSR000BNU	13.34	3.51	method2
NFYB	ENCSR000EGQ	35.77	5.49	method2
HCFC1	ENCSR000EFN			method2
ZHX1	ENCSR557RVF			method2
MBD2	ENCSR221GAN	31.38	28.70	method2
RBBP5	ENCSR000AQI			method2
MYC	ENCSR000EZV	6.38	4.42	method2
SIN3B	ENCSR887ZEN			method2
NFE2L2	ENCSR485GKE			method2
YY1	ENCSR000EWF	66.47	25.52	method2
THAP1	ENCSR000BNN	0.20	0.12	method2
JUND	ENCSR000EGN	5.94	4.47	method2
MAZ	ENCSR000EFX	81.02	73.13	method2
MAZ	ENCSR163IUV	81.36	73.64	method2
CHD2	ENCSR000EHD			method2
JUNB	ENCSR000DJY	6.16	2.70	method2
CTCF	GSE92879	77.47	57.98	method2
REST	ENCSR000BMW	0.42	0.24	method2
ZMIZ1	ENCSR000EFQ			method2
TBL1XR1	ENCSR000EGB			method2
ATF1	ENCSR159OCC	45.32	16.36	method2
EGR1	ENCSR000BNE	54.63	38.44	method2
MYC	ENCSR000DLZ	5.27	4.59	method2
TAL1	ENCSR000EHB			method2
ZBTB12	ENCSR172OSX	30.81	28.42	method2
NFE2	ENCSR000FCC	5.93	1.26	method2
ATF1	ENCSR000DNZ	46.24	16.38	method2
UBTF	ENCSR000EFZ			method2
ATF2	ENCSR869IUD	43.75	6.67	method2
JUN	ENCSR000FAH	5.98	2.27	method2
PRPF4	ENCSR220YXI			method2
CTCF	ENCSR000EGM	73.47	60.06	method2
JUN	ENCSR000EFS	3.67	2.27	method2
MYC	ENCSR000EGS	5.21	4.49	method2
CBX1	ENCSR948QLZ			method2
ATF3	ENCSR000DOG	21.48	3.67	method2
IRF1	ENCSR000EGT			method2
E2F4	ENCSR000EWL	0.51	0.30	method2
RFX5	ENCSR000EGO	10.49	6.06	method2
NRF1	ENCSR837EYC	6.53	2.25	method2
EP300	ENCSR000EGE			method2
CEBPD	ENCSR000BVY	13.35	9.60	method2
MYC	ENCSR000FAG	5.28	4.39	method2
HMGN3	ENCSR000DOB			method2
SIN3A	ENCSR000BLR			method2
ZNF639	ENCSR845BCL			method2
NFYA	ENCSR000EGR	22.01	1.77	method2
CCNT2	ENCSR000DOA			method2
GABPA	ENCSR000BLO	53.59	25.92	method2
IRF2	ENCSR376WCJ	0.59	0.11	method2
ETS1	ENCSR000BKQ	3.62	1.93	method2
ZNF384	ENCSR000EFP	25.01	23.10	method2
MXI1	ENCSR000EGZ	7.02	5.47	method2
ELF1	ENCSR000BMD	55.98	25.93	method2
BHLHE40	ENCSR000EGV	12.52	5.16	method2
SP1	ENCSR000BKO	22.63	14.11	method2
TCF7	ENCSR863KUB			method2
AGO1	ENCSR641BSL			method2
FOS	ENCSR000FAI	8.08	3.74	method2
ZBED1	ENCSR286PCG	0.46	0.22	method2
CBX5	ENCSR272JAT			method2
USF1	ENCSR000BKT	10.91	2.23	method2
MAFK	ENCSR000EGX	1.64	0.22	method2
CTCF	ENCSR000DWE	74.85	58.02	method2
RB1	ENCSR506CVF			method2
TARDBP	ENCSR353HEP			method2
SREBF1	ENCSR815ZDS	16.52	6.86	method2
MAFF	ENCSR000EGI	10.71	2.92	method2
CTCFL	ENCSR000BNK	77.03	60.90	method2
MYC	ENCSR000FAZ	7.53	4.32	method2
MYC	ENCSR000EZU	5.42	4.38	method2
CEBPB	ENCSR000EHE	18.47	6.15	method2
IKZF1	ENCSR395HWC			method2
NCOA1	ENCSR711SNW			method2
ILF3	GSE103215			method2
ZSCAN29	ENCSR175SZH	1.52	1.00	method2
ZSCAN29	ENCSR635EXI	1.89	0.96	method2
CREBBP	ENCSR000ATT			method2
NR2C2	ENCSR750LYM	13.64	8.77	method2
GABPA	ENCSR290MUH	69.83	25.76	method2
ZBTB11	ENCSR706BJO			method2
ZBTB7A	ENCSR000BME	18.34	15.44	method2
ZBTB11	ENCSR331GDC			method2
UBTF	ENCSR000EFW			method2
CBFA2T2	ENCSR699PVC			method2
GATA2	ENCSR000EWG	18.19	7.19	method2
KDM1A	ENCSR908CMW			method2
MAX	ENCSR000FAE	6.61	2.88	method2
GMEB1	ENCSR928KOR			method2
BCOR	ENCSR808AKZ			method2
MCM7	ENCSR038RGL			method2
MTA1	ENCSR807BGP			method2
GATA1	GSE107726	8.40	5.59	method2
TAL1	GSE107726			method2
GATA1	GSE132212	9.70	6.10	method2
CTCF	GSE132212	72.96	55.49	method2
TAL1	GSE132212			method2
ZNF263	ENCSR000EWN	74.39	69.66	method2
NFXL1	ENCSR085DDI			method2
SAFB	ENCSR072VUO			method2
CTCF	GSE140868	74.57	58.75	method2
RAD21	GSE140868			method2
HNRNPL	ENCSR594BNR			method2
XRCC5	ENCSR506KWJ			method2
SMC3	ENCSR000EGW			method2
ZFP36	ENCSR776CYN			method2
RBM25	ENCSR791OZM			method2
CBX2	ENCSR000ATU			method2
RNF2	ENCSR820GND			method2
CBX8	ENCSR000ATW			method2
ZNF512	ENCSR591CCL			method2
NR3C1	ENCSR494UQJ			method2
BCLAF1	ENCSR492LTS			method2
ELF1	ENCSR502OEK	71.95	26.09	method2
ARHGAP35	ENCSR571BUF			method2
MLLT1	ENCSR107GRP			method2
ZNF280A	ENCSR370NFS	4.59	0.55	method2
MLLT1	ENCSR675LRO			method2
YBX1	ENCSR107RHZ			method2
SMARCA4	ENCSR643VTW			method2
ARID2	ENCSR491EBY			method2
NCOA4	ENCSR119ULQ			method2
HDAC1	ENCSR387UWP			method2
RNF2	ENCSR138FUZ			method2
E4F1	ENCSR731LHZ	2.15	0.66	method2
GABPB1	ENCSR138YYY			method2
ETV1	ENCSR277DMR	68.55	18.86	method2
GMEB1	ENCSR376RCX			method2
SRSF3	ENCSR268QIQ			method2
BMI1	ENCSR782WRO			method2
ZNF3	ENCSR195QFV			method2
KDM1A	GSE117944			method2
GFI1B	GSE117944			method2
CTNNB1	GSE117944			method2
NR2F1	ENCSR970NKQ	9.52	4.97	method2
BRD2	GSE120715			method2
BRD3	GSE120715			method2
BRD4	GSE120715			method2
PKNOX1	ENCSR115SMW	2.17	1.85	method2
ZNF316	ENCSR200JYP			method2
TFDP1	ENCSR224IKA	6.91	4.08	method2
MTA3	ENCSR180NCY			method2
USF2	GSE111469	4.75	0.73	method2
PLAG1	GSE111469			method2
MYNN	ENCSR737LTZ	0.31	0.21	method2
VEZF1	ENCSR189YMA	41.19	36.80	method2
HNRNPK	ENCSR014RCS			method2
ZNF257	ENCSR492FKD	64.56	53.16	method2
DEAF1	ENCSR387SYS			method2
RB1	ENCSR670JDQ			method2
ZNF639	ENCSR949NVY			method2
MGA	ENCSR710WLO			method2
MNT	ENCSR390VGH	24.11	18.37	method2
NRF1	ENCSR998AJK	5.99	2.20	method2
NRF1	ENCSR494TDU	6.47	2.18	method2
PHF20	ENCSR594SMP			method2
ZFP91	ENCSR898XMH			method2
TRIM28	ENCSR474CVP			method2
ZNF24	ENCSR099NCH			method2
GATAD2A	ENCSR160QYK			method2
PCBP1	ENCSR052PTN			method2
FIP1L1	ENCSR177DNR			method2
U2AF1	ENCSR690GUG			method2
NONO	ENCSR415TXN			method2
GTF2F1	ENCSR189VXS			method2
FUS	ENCSR051DXE			method2
FOSL1	ENCSR000BMV			method2
CBX2	GSE121182			method2
CBX8	GSE121182			method2
TFDP1	ENCSR017GBO	8.61	3.94	method2
PTBP1	ENCSR948KMB			method2
RNF2	ENCSR076YPO			method2
ZNF282	ENCSR742TMU			method2
CTCF	GSE110681	72.26	53.24	method2
STAG1	ENCSR153HNT			method2
E2F3	ENCSR036QIR	0.90	0.37	method2
GATAD2B	ENCSR547LKC			method2
ELK1	ENCSR338QAC	69.01	12.48	method2
REST	ENCSR137ZMQ	0.48	0.22	method2
SOX6	ENCSR788RSW	21.62	20.83	method2
NONO	ENCSR010KFT			method2
SPI1	GSE74999	2.43	0.66	method2
NR4A1	ENCSR692RET			method2
ZNF143	ENCSR000EGP	7.23	2.50	method2
TBL1XR1	ENCSR000EGA			method2
E2F5	ENCSR709DRM	22.20	11.87	method2
RCOR1	ENCSR000EGC			method2
IRF1	GSE129380	1.00	0.14	method2
BCLAF1	ENCSR000BKH			method2
GTF2F1	ENCSR000EHC			method2
RUNX1	ENCSR588AKU			method2
WDR5	GSE115377			method2
ZNF24	ENCSR385AHH			method2
POU5F1	ENCSR364SNE	2.47	2.00	method2
KLF16	ENCSR760UVO			method2
HDAC2	ENCSR000AQG			method2
SUZ12	ENCSR412CTM			method2
TAF7	ENCSR000BNM			method2
PRMT5	ENCSR625ZVM			method2
MTA2	ENCSR411UYA			method2
RBM14	ENCSR423FCW			method2
ZBTB33	ENCSR000BKF	55.23	7.29	method2
ID3	ENCSR005NMT			method2
HDGF	ENCSR563YDA			method2
SPI1	ENCSR000BGW	2.46	0.70	method2
ATF7	ENCSR972ZBV	8.27	3.24	method2
ZNF184	ENCSR621ATC			method2
SMARCC2	ENCSR519WMW			method2
NCOR1	ENCSR798ILC			method2
CBFA2T3	ENCSR697YLJ			method2
PBX2	ENCSR263DFP			method2
MEIS2	ENCSR851BNE			method2
ZEB2	ENCSR004GKA			method2
FOSL1	ENCSR239ZLZ	12.61	10.53	method2
ZNF148	ENCSR018MSO			method2
ARID3A	ENCSR000EFY			method2
ZEB2	ENCSR322CFO			method2
TCF3	ENCSR970OJY			method2
CUX1	ENCSR000EFO	26.25	9.27	method2
KLF13	ENCSR608HVP	19.83	12.68	method2
REST	ENCSR000ATM	0.98	0.23	method2
ATF1	ENCSR091GVJ	20.63	15.67	method2
ZMYM3	ENCSR102KIN			method2
ZNF436	ENCSR335SUD	31.81	16.00	method2
MITF	ENCSR000FCB	24.33	4.50	method2
SUZ12	ENCSR000AUC			method2
KDM1A	ENCSR000ATX			method2
RBM39	ENCSR764OXF			method2
DACH1	ENCSR030TJP			method2
CEBPG	ENCSR490LWA	20.18	5.17	method2
HDAC8	ENCSR835TCD			method2
HDAC8	ENCSR000DJZ			method2
NR2F6	ENCSR707QWA			method2
NCOR1	ENCSR000ATY			method2
SMARCA4	ENCSR587OQL			method2
HOXB8	GSE121208			method2
TARDBP	ENCSR033VAZ			method2
FOXM1	ENCSR429QPP			method2
MNT	ENCSR979QYJ	30.96	18.67	method2
PBX2	ENCSR633EIC			method2
RLF	ENCSR718SDE			method2
SMAD2	ENCSR189PYJ			method2
PHF21A	ENCSR119VCX			method2
STAT5A	ENCSR000BRR	30.27	22.01	method2
PAX8	ENCSR274CGK			method2
HDAC2	ENCSR000BMG			method2
STAT1	ENCSR000EHJ	2.66	0.28	method2
GTF3C2	ENCSR000DOD			method2
SIX5	ENCSR000BNW	40.71	26.05	method2
JUN	ENCSR000EGH	11.93	2.21	method2
NSD2	ENCSR000AVE			method2
GATA1	ENCSR000EWM	7.62	4.26	method2
CHD1	ENCSR000AQD			method2
SIN3B	ENCSR657JLK			method2
ZMIZ1	ENCSR907JPB			method2
SAP30	ENCSR000AQJ			method2
EZH2	ENCSR000AQE			method2
NFIX	ENCSR574VJG	43.83	7.10	method2
TAF15	ENCSR047LSJ			method2
MITF	ENCSR797SWM	31.03	4.12	method2
USF2	ENCSR578KEN	6.62	0.62	method2
MIER1	ENCSR426MDV			method2
ZBTB5	ENCSR786OQY			method2
CC2D1A	ENCSR343IFJ			method2
HINFP	ENCSR619GFP			method2
KLF1	ENCSR550HCT	25.80	23.73	method2
NBN	ENCSR085QEV			method2
ZNF740	ENCSR737UST	88.28	60.22	method2
CHD7	ENCSR000AVD			method2
ESRRA	ENCSR486IFJ	30.21	24.38	method2
SP1	ENCSR991ELG	23.12	14.25	method2
RUNX1	ENCSR414TYY	5.49	2.91	method2
KDM1A	ENCSR360HRA			method2
TCF7L2	ENCSR888XZK			method2
SIRT6	ENCSR000AUB			method2
CDC5L	ENCSR121PFY			method2
DNMT1	ENCSR987PBI			method2
L3MBTL2	GSE28162			method2
RFX1	ENCSR041AXL	30.22	7.64	method2
ZNF12	ENCSR041YBR	77.85	72.87	method2
RFX1	ENCSR968GIB	31.39	7.25	method2
FOXK2	ENCSR508DQA			method2
TAF7	ENCSR671GFC			method2
YBX3	ENCSR567JEU			method2
ELF4	ENCSR638QHV	40.93	11.73	method2
ZNF143	GSE39263	10.14	2.55	method2
ELK1	ENCSR000EFU	71.64	12.85	method2
ZC3H11A	ENCSR000EFR			method2
CREB3L1	ENCSR109YGM	8.63	5.76	method2
RELA	ENCSR772EEN			method2
ZNF24	ENCSR117WTM			method2
FOS	ENCSR000DKB	6.36	3.63	method2
IRF1	ENCSR854MCV	1.74	0.17	method2
RBM34	ENCSR899GSH			method2
HIF1A	GSE123461	13.39	7.03	method2
EPAS1	GSE123461	4.84	0.97	method2
NR4A1	ENCSR130PDE			method2
SRF	ENCSR582IAO	0.15	0.04	method2
NFRKB	ENCSR657EOF			method2
MTA2	ENCSR113LAS			method2
ZNF165	ENCSR172XJS			method2
ARID3B	ENCSR360UHC			method2
ZNF79	ENCSR995FUM			method2
RAD21	ENCSR000FAD			method2
MEF2D	ENCSR647ZXA			method2
MEF2A	ENCSR000BNV	11.95	2.79	method2
ARNT	ENCSR613NUC	1.37	0.87	method2
NFRKB	ENCSR996ESX			method2
PHB2	ENCSR924GXX			method2
SETDB1	ENCSR000EWD			method2
PCBP2	ENCSR603REQ			method2
CHD4	ENCSR000ATL			method2
CEBPZ	ENCSR618GDK	53.06	10.94	method2
BRD4	ENCSR583ACG			method2
CDK8	GSE65138			method2
ZNF274	ENCSR000EVX	9.15	4.50	method2
ZNF583	ENCSR775EQV			method2
GTF2A2	ENCSR801RPW			method2
ATF3	ENCSR632DCH	34.29	3.73	method2
ZNF76	ENCSR257AFV	5.65	0.76	method2
NCOA1	ENCSR931HNY			method2
DIDO1	ENCSR167JBG			method2
TBX18	ENCSR385IUC			method2
CREB3	ENCSR093FKD	18.52	11.13	method2
ZNF324	ENCSR712KVZ			method2
CEBPG	ENCSR620VIC	23.76	5.48	method2
ZNF239	ENCSR606KTL			method2
HIVEP1	ENCSR947PJZ			method2
HOMEZ	ENCSR801JWB			method2
JUNB	ENCSR525VAT	14.65	2.88	method2
ATF4	ENCSR145TSJ	3.08	0.89	method2
ZNF175	ENCSR011PEI			method2
ZNF584	ENCSR149ZBI	17.44	10.62	method2
SMAD3	ENCSR376XAV			method2
ZNF589	ENCSR603XLW			method2
SHOX2	ENCSR184IQF			method2
JUN	ENCSR000EZW	17.92	2.39	method2
USF2	ENCSR359NFW	9.53	0.62	method2
TEAD1	ENCSR591ASD			method2
JUN	ENCSR000EZX	20.98	2.47	method2
RAD51	ENCSR524BUE			method2
NFE2	ENCSR000FAF	16.42	1.34	method2
ZNF318	ENCSR352BJL			method2
JUN	ENCSR000EZT	16.85	2.43	method2
FOXK2	ENCSR302AWT			method2
TAF9B	ENCSR100UQX			method2
STAT2	ENCSR000FBC	9.97	0.16	method2
JUNB	ENCSR795IYP	17.48	2.91	method2
USF2	ENCSR000EHG	11.63	0.64	method2
RREB1	ENCSR250WFW			method2
ZBTB11	ENCSR985OYK			method2
THRA	ENCSR264CZJ			method2
ETV6	ENCSR124BJR	65.92	29.99	method2
ADNP	ENCSR440VKE			method2
ARNT	ENCSR155KHM	1.69	0.96	method2
GATA2	ENCSR000DKA	15.65	7.75	method2
TAL1	ENCSR106FRG			method2
TCF12	ENCSR744WOO			method2
GATA2	ENCSR000BKM	19.72	8.68	method2
LDB1	GSE142227			method2
CBFA2T3	GSE142227			method2
STAT1	ENCSR000FAU	13.88	0.50	method2
GATA2	ENCSR257RKC	19.12	7.90	method2
STAT2	ENCSR000FAT	4.85	0.17	method2
GATA1	ENCSR000EFT	8.97	5.61	method2
AFF1	ENCSR426URK			method2
ZNF644	ENCSR729HVR			method2
KLF6	ENCSR297CGF			method2
ZNF215	ENCSR699RWG			method2
IRF9	ENCSR926KTP	1.35	0.69	method2
ZNF311	ENCSR388ZRV	45.18	40.86	method2
MAFG	ENCSR818DQV	9.01	4.10	method2
NFATC3	ENCSR670FDA	38.19	32.50	method2
HMBOX1	ENCSR757IIU	21.77	11.98	method2
IRF1	ENCSR000EGL	3.47	0.20	method2
ARNT	ENCSR669NFS	2.79	0.91	method2
STAT1	ENCSR000FAV	14.38	0.50	method2
IRF1	ENCSR000EGU	23.79	0.21	method2
IRF1	ENCSR000EGK	2.73	0.15	method2
NRF1	ENCSR000EHH	17.22	2.19	method2
ELF1	ENCSR975SSR	83.80	26.45	method2
HDAC6	ENCSR000ATJ			method2
TP53	GSE131484	19.47	10.34	method2
SP2	ENCSR000BNL	54.89	39.76	method2
NR4A1	ENCSR000DJW	11.98	6.90	method2
ZNF444	ENCSR164RIC	50.87	26.97	method2
HIF1A	GSE142865	19.11	6.66	method2
ZNF407	ENCSR011NOZ			method2
HDAC3	ENCSR024LKA			method2
ZNF764	ENCSR023OOE			method2
MORC2	GSE95374			method2
TASOR	GSE95374			method2
TRIM28	ENCSR000EVY			method2
ZNF445	ENCSR883UGG			method2
ZNF41	ENCSR235PYI			method2
ZNF197	ENCSR580IAO			method2
SIX5	ENCSR000BGX	47.95	26.25	method2
KAT2B	ENCSR000ATZ			method2
BCL6	ENCSR802AHH			method2
ZNF83	ENCSR257XVY			method2
ZNF134	ENCSR553NTC	28.13	22.52	method2
ZNF395	ENCSR462QZZ			method2
ZNF507	ENCSR577KQD			method2
TCFL5	ENCSR844JVU			method2
BACH1	ENCSR000EGD	29.17	3.74	method2
DDX20	ENCSR446LAV			method2
TSC22D4	ENCSR787RVK			method2
STAT1	ENCSR000EHK	4.67	0.39	method2
PTTG1	ENCSR314BBS			method2
DDX20	ENCSR382AIB			method2
PTRF	ENCSR126FZN			method2
ZNF700	ENCSR959BQO			method2
CREB5	ENCSR935PEA	25.44	7.02	method2
MCM7	ENCSR542WJU			method2
MCM2	ENCSR552PSV			method2
ZNF319	ENCSR231PDA			method2
PYGO2	ENCSR410DWC			method2
ASH1L	ENCSR115BBC			method2
ZNF740	ENCSR532EMP			method2
CBX3	ENCSR000ATV			method2
SRSF7	ENCSR222MYK			method2
ZNF408	ENCSR758PLU			method2
HNRNPUL1	ENCSR296MXW			method2
SNRNP70	ENCSR754ZHU			method2
E2F1	ENCSR563LLO	19.46	9.51	method2
NFE2	ENCSR552YGL	14.39	1.43	method2
NCOA2	ENCSR349TZO			method2
THRAP3	ENCSR871TKJ			method2
CCAR2	ENCSR598GER			method2
NCOA6	ENCSR168CEE			method2
E2F7	ENCSR171CAY	7.56	0.26	method2
ILF3	ENCSR632TJQ			method2
ZNF407	ENCSR439OCL			method2
PYGO2	ENCSR431XGJ			method2
ATRX	GSE70920			method2
BCLAF1	ENCSR792IYC			method2
MCM5	ENCSR079WHK			method2
MCM7	ENCSR068VRA			method2
TRIP13	ENCSR154EIH			method2
RBM15	ENCSR850WUE			method2
ETV6	ENCSR000FCE	74.47	28.27	method2
EP300	ENCSR000EGY			method2
SETDB1	ENCSR000AUT			method2
PATZ1	ENCSR549PVK	19.16	13.66	method2
LEF1	ENCSR832OGB			method2
ZNF830	ENCSR033NQK			method2
GTF2B	ENCSR000DOE			method2
TSHZ1	ENCSR958JPH			method2
ZNF354B	ENCSR044IXA			method2
MYBL2	ENCSR162IEM	22.36	5.21	method2
ZZZ3	ENCSR780BBJ			method2
EWSR1	ENCSR142YYA			method2
ZKSCAN8	ENCSR448UKK			method2
BACH1	ENCSR740NPG	23.63	4.97	method2
TEAD2	ENCSR635GTR	10.57	3.17	method2
NFE2L1	ENCSR632SHZ			method2
ZBTB40	ENCSR158RYZ			method2
ILK	ENCSR648INT			method2
ZNF23	ENCSR898IDK			method2
ZNF174	ENCSR056VYW	13.33	5.12	method2
ZNF133	ENCSR619UPN			method2
KLF10	ENCSR121SPB			method2
ZNF397	ENCSR508EEX			method2
ZNF696	ENCSR276RQG			method2
SMARCB1	ENCSR000EHN			method2
TOP2A	GSE79593			method2
CHAMP1	ENCSR065XVO			method2
ZNF318	ENCSR334HSW			method2
ZNF507	ENCSR598TIR			method2
ZNF766	ENCSR194IJN			method2
HDAC1	ENCSR568PGX			method2
XRCC3	ENCSR997NGQ			method2
ZKSCAN3	ENCSR199HGP	50.75	11.69	method2
CUX1	GSE92882	38.74	13.87	method2
FOXA1	ENCSR819LHG	33.33	4.36	method2
NCOA2	ENCSR803EKW			method2
CHAMP1	ENCSR315NNL			method2
ZNF830	ENCSR851XLW			method2
SIRT6	ENCSR000DOH			method2
BRCA1	ENCSR223MLH			method2
ZNF354B	ENCSR674SCQ			method2
NR3C1	ENCSR325DER			method2
FOXJ2	ENCSR847LBF			method2
KAT8	ENCSR086FZL			method2
CLOCK	ENCSR228OQM	70.99	20.67	method2
ESRRB	ENCSR264LYE			method2
HEY1	ENCSR405KTQ			method2
ZNF77	ENCSR844MAB	31.82	18.58	method2
BDP1	ENCSR000DOK			method2
ZNF253	ENCSR271RRH			method2
DLX4	ENCSR017EJY			method2
EP300	ENCSR000AQB			method2
BRF1	ENCSR000DOJ			method2
MYB	GSE124541	2.13	1.78	method2
EP400	ENCSR817QKV			method3
NCOA1	ENCSR658WFQ			method3
ZBTB40	ENCSR237VLT			method3
SMARCE1	ENCSR157TCS			method3
AFF1	ENCSR241LIH			method3
ZNF184	ENCSR546IHU	31.72	25.33	method3
E2F8	ENCSR953DVM	26.40	16.52	method3
NR2C1	ENCSR742IDN	4.35	2.25	method3
PRDM10	ENCSR120MPG			method3
MNT	ENCSR512NLO	24.97	18.20	method3
NUFIP1	ENCSR574XEO			method3
TRIM24	ENCSR907MZR			method3
TCF12	ENCSR189TRZ			method3
LEF1	ENCSR343ELW			method3
ZNF24	ENCSR695EQB			method3
MCM3	ENCSR990AZC			method3
NONO	ENCSR886RYH			method3
TRIM24	ENCSR957LDM			method3
SNIP1	ENCSR654CQU			method3
EHMT2	ENCSR175EOM			method3
HDAC1	ENCSR711VWL			method3
NFATC3	ENCSR051OUX	36.20	30.41	method3
MCM5	ENCSR628APV			method3
ZBTB5	ENCSR389PWB			method3
ZBTB33	ENCSR876GXA	6.57	5.56	method3
EGR1	ENCSR211LTF	51.10	36.21	method3
ZNF639	ENCSR497VFH			method3
EGR1	ENCSR024CNP	55.28	36.93	method3
NR2C1	ENCSR178DEG	3.78	2.20	method3
HDAC2	ENCSR893WSB			method3
MTA3	ENCSR914NEI			method3
ZNF592	ENCSR249BHQ			method3
HES1	ENCSR091JXL	52.44	38.32	method3
HDGF	ENCSR197ALX			method3
DPF2	ENCSR219BXP			method3
NCOR1	ENCSR298JCG			method3
ZBTB2	ENCSR230PTV	11.66	6.82	method3
L3MBTL2	ENCSR530XQI			method3
CTBP1	ENCSR201NQZ			method3
SKIL	ENCSR336DXE			method3
SMARCA5	ENCSR895HSJ			method3
ATF3	ENCSR028UIU	17.71	3.57	method3
NCOR1	ENCSR910JAI			method3
NFIC	ENCSR796ITY			method3
ARID1B	ENCSR822CCM			method3
