V1	N	db
ZNF350	1483	GTRD
ZNF354A	32	GTRD
ZNF354B	207	GTRD
ZNF354C	14	GTRD
ZNF362	633	GTRD
ZNF37A	159	GTRD
ZNF391	961	GTRD
ZNF394	1129	GTRD
ZNF404	21	GTRD
ZNF407	1996	GTRD
ZNF41	242	GTRD
ZNF410	635	GTRD
ZNF416	6	GTRD
ZNF418	44	GTRD
ZNF419	8	GTRD
ZNF423	1081	GTRD
ZNF426	218	GTRD
ZNF433	67	GTRD
ZNF436	510	GTRD
ZNF445	8	GTRD
ZNF454	19	GTRD
ZNF486	299	GTRD
ZNF488	45	GTRD
ZNF490	499	GTRD
ZNF491	10	GTRD
ZNF493	8	GTRD
ZNF501	13	GTRD
ZNF502	37	GTRD
ZNF507	662	GTRD
ZNF510	41	GTRD
ZNF512	446	GTRD
ZNF512B	220	GTRD
ZNF513	784	GTRD
ZNF514	8	GTRD
ZNF524	356	GTRD
ZNF528	806	GTRD
ZNF529	47	GTRD
ZNF530	33	GTRD
ZNF532	66	GTRD
ZNF544	6	GTRD
ZNF547	349	GTRD
ZNF548	63	GTRD
ZNF549	1309	GTRD
ZNF555	164	GTRD
ZNF558	312	GTRD
ZNF560	51	GTRD
ZNF561	873	GTRD
ZNF563	653	GTRD
ZNF577	534	GTRD
ZNF579	796	GTRD
ZNF581	334	GTRD
ZNF582	77	GTRD
ZNF584	379	GTRD
ZNF585B	138	GTRD
ZNF586	59	GTRD
ZNF589	708	GTRD
ZNF592	1923	GTRD
ZNF595	133	GTRD
ZNF596	662	GTRD
ZNF597	890	GTRD
ZNF610	910	GTRD
ZNF618	1485	GTRD
ZNF622	71	GTRD
ZNF623	477	GTRD
ZNF626	11	GTRD
ZNF660	796	GTRD
ZNF664	1002	GTRD
ZNF667	147	GTRD
ZNF669	132	GTRD
ZNF677	181	GTRD
ZNF680	886	GTRD
ZNF697	222	GTRD
ZNF7	919	GTRD
ZNF704	71	GTRD
ZNF707	53	GTRD
ZNF708	99	GTRD
ZNF711	1762	GTRD
ZNF740	1550	GTRD
ZNF746	79	GTRD
ZNF766	1219	GTRD
ZNF768	1362	GTRD
ZNF774	29	GTRD
ZNF776	8	GTRD
ZNF777	69	GTRD
ZNF781	214	GTRD
ZNF784	555	GTRD
ZNF785	69	GTRD
ZNF791	67	GTRD
ZNF8	1055	GTRD
ZNF816	551	GTRD
ZNF830	287	GTRD
ZNF837	9	GTRD
ZNF843	900	GTRD
ZNF85	327	GTRD
ZNF92	1463	GTRD
ZSCAN18	49	GTRD
ZSCAN2	924	GTRD
ZSCAN21	513	GTRD
ZSCAN23	87	GTRD
ZSCAN26	5	GTRD
ZSCAN30	1782	GTRD
ZSCAN31	942	GTRD
ZSCAN4	1458	GTRD
ZSCAN5B	85	GTRD
ZSCAN5C	152	GTRD
ZSCAN5DP	1533	GTRD
ZZZ3	318	GTRD
ADNP	4224	ChIP-Atlas
AFF1	12351	ChIP-Atlas
AGO1	7832	ChIP-Atlas
ARHGAP35	6056	ChIP-Atlas
ARID1B	11377	ChIP-Atlas
ARID2	12865	ChIP-Atlas
ARID3A	4357	ChIP-Atlas
ARID3B	138	ChIP-Atlas
ARNT	13312	ChIP-Atlas
ASH1L	4364	ChIP-Atlas
ATF1	12198	ChIP-Atlas
ATF2	11720	ChIP-Atlas
ATF3	14963	ChIP-Atlas
ATF4	12204	ChIP-Atlas
ATF7	10708	ChIP-Atlas
ATRX	9617	ChIP-Atlas
BACH1	9106	ChIP-Atlas
BCL6	12975	ChIP-Atlas
BCLAF1	8661	ChIP-Atlas
BCOR	15646	ChIP-Atlas
BDP1	123	ChIP-Atlas
BHLHE40	12619	ChIP-Atlas
BMI1	14183	ChIP-Atlas
BRCA1	10422	ChIP-Atlas
BRD2	14959	ChIP-Atlas
BRD3	12846	ChIP-Atlas
BRD4	17031	ChIP-Atlas
BRD9	13284	ChIP-Atlas
BRF1	701	ChIP-Atlas
CBFA2T2	1913	ChIP-Atlas
CBFA2T3	2927	ChIP-Atlas
CBX1	9019	ChIP-Atlas
CBX2	999	ChIP-Atlas
CBX3	12982	ChIP-Atlas
CBX5	9764	ChIP-Atlas
CBX8	340	ChIP-Atlas
CC2D1A	2967	ChIP-Atlas
CCAR2	258	ChIP-Atlas
CCNT2	8761	ChIP-Atlas
CDC5L	382	ChIP-Atlas
CDK8	13348	ChIP-Atlas
CEBPB	14463	ChIP-Atlas
CEBPD	10206	ChIP-Atlas
CEBPG	7044	ChIP-Atlas
CEBPZ	467	ChIP-Atlas
CHAMP1	3606	ChIP-Atlas
CHD1	10984	ChIP-Atlas
CHD2	11720	ChIP-Atlas
CHD4	5292	ChIP-Atlas
CHD7	11974	ChIP-Atlas
CLOCK	5220	ChIP-Atlas
CREB1	15427	ChIP-Atlas
CREB3	2422	ChIP-Atlas
CREB3L1	6544	ChIP-Atlas
CREB5	821	ChIP-Atlas
CREBBP	14128	ChIP-Atlas
CREM	11587	ChIP-Atlas
CTBP1	11252	ChIP-Atlas
CTCF	16897	ChIP-Atlas
CTCFL	12867	ChIP-Atlas
CTNNB1	9328	ChIP-Atlas
CUX1	4898	ChIP-Atlas
DACH1	1453	ChIP-Atlas
DDX20	2709	ChIP-Atlas
DEAF1	2868	ChIP-Atlas
DIDO1	2214	ChIP-Atlas
DLX4	32	ChIP-Atlas
DNMT1	5260	ChIP-Atlas
DPF2	12406	ChIP-Atlas
E2F1	14026	ChIP-Atlas
E2F3	9185	ChIP-Atlas
E2F4	11298	ChIP-Atlas
E2F5	8699	ChIP-Atlas
E2F6	13660	ChIP-Atlas
E2F7	5366	ChIP-Atlas
E2F8	4738	ChIP-Atlas
E4F1	8609	ChIP-Atlas
EGR1	14838	ChIP-Atlas
EHMT2	12672	ChIP-Atlas
ELF1	13988	ChIP-Atlas
ELF4	6918	ChIP-Atlas
ELK1	6430	ChIP-Atlas
EP300	16942	ChIP-Atlas
EP400	10491	ChIP-Atlas
ERG	15958	ChIP-Atlas
ESRRA	9368	ChIP-Atlas
ESRRB	45	ChIP-Atlas
ETS1	14631	ChIP-Atlas
ETV1	8503	ChIP-Atlas
ETV6	13266	ChIP-Atlas
EWSR1	481	ChIP-Atlas
EZH2	15214	ChIP-Atlas
FIP1L1	6331	ChIP-Atlas
FOS	12091	ChIP-Atlas
FOSL1	11842	ChIP-Atlas
FOXA1	16422	ChIP-Atlas
FOXJ2	3769	ChIP-Atlas
FOXK2	7806	ChIP-Atlas
FOXM1	10247	ChIP-Atlas
FUS	6758	ChIP-Atlas
GABPA	13309	ChIP-Atlas
GABPB1	13006	ChIP-Atlas
GATA1	14162	ChIP-Atlas
GATA2	13713	ChIP-Atlas
GATAD2A	9664	ChIP-Atlas
GATAD2B	9472	ChIP-Atlas
GFI1B	6110	ChIP-Atlas
GMEB1	10758	ChIP-Atlas
GTF2A2	5547	ChIP-Atlas
GTF2B	9908	ChIP-Atlas
GTF2F1	12295	ChIP-Atlas
HCFC1	10225	ChIP-Atlas
HDAC1	15179	ChIP-Atlas
HDAC2	14571	ChIP-Atlas
HDAC3	6952	ChIP-Atlas
HDAC6	1470	ChIP-Atlas
HDAC8	946	ChIP-Atlas
HDGF	5307	ChIP-Atlas
HES1	982	ChIP-Atlas
HEY1	11943	ChIP-Atlas
HIF1A	14449	ChIP-Atlas
HINFP	7510	ChIP-Atlas
HIVEP1	9940	ChIP-Atlas
HMBOX1	3194	ChIP-Atlas
HMGN3	8755	ChIP-Atlas
HNRNPC	9319	ChIP-Atlas
HNRNPK	7763	ChIP-Atlas
HNRNPL	7986	ChIP-Atlas
HNRNPLL	11574	ChIP-Atlas
HNRNPUL1	2754	ChIP-Atlas
HOMEZ	5893	ChIP-Atlas
HOXB8	1141	ChIP-Atlas
ID3	3994	ChIP-Atlas
IKZF1	13578	ChIP-Atlas
ILF3	7002	ChIP-Atlas
ILK	38	ChIP-Atlas
IRF1	12093	ChIP-Atlas
IRF2	9362	ChIP-Atlas
IRF9	10633	ChIP-Atlas
JUN	15115	ChIP-Atlas
JUNB	10422	ChIP-Atlas
JUND	13903	ChIP-Atlas
KAT2B	345	ChIP-Atlas
KAT8	9850	ChIP-Atlas
KDM1A	15740	ChIP-Atlas
KDM4B	7259	ChIP-Atlas
KDM5B	15011	ChIP-Atlas
KLF1	13091	ChIP-Atlas
KLF10	9397	ChIP-Atlas
KLF13	5296	ChIP-Atlas
KLF16	10812	ChIP-Atlas
KLF6	8301	ChIP-Atlas
L3MBTL2	11975	ChIP-Atlas
LDB1	8639	ChIP-Atlas
LEF1	8123	ChIP-Atlas
MAFF	3915	ChIP-Atlas
MAFG	2192	ChIP-Atlas
MAFK	6401	ChIP-Atlas
MAX	16562	ChIP-Atlas
MAZ	14372	ChIP-Atlas
MBD2	9103	ChIP-Atlas
MCM2	10891	ChIP-Atlas
MCM3	6306	ChIP-Atlas
MCM5	43	ChIP-Atlas
MCM7	9329	ChIP-Atlas
MED1	15701	ChIP-Atlas
MEF2A	5594	ChIP-Atlas
MEF2D	10161	ChIP-Atlas
MEIS2	10379	ChIP-Atlas
MGA	10902	ChIP-Atlas
MIER1	1228	ChIP-Atlas
MITF	15411	ChIP-Atlas
MLLT1	8214	ChIP-Atlas
MNT	12059	ChIP-Atlas
MORC2	1030	ChIP-Atlas
MTA1	11811	ChIP-Atlas
MTA2	11105	ChIP-Atlas
MTA3	10230	ChIP-Atlas
MXI1	13408	ChIP-Atlas
MYBL2	10415	ChIP-Atlas
MYC	16529	ChIP-Atlas
MYNN	4960	ChIP-Atlas
NBN	7484	ChIP-Atlas
NCOA1	9726	ChIP-Atlas
NCOA2	1444	ChIP-Atlas
