V1	N	db
ZGLP1	543	DoRothEA
ZGPAT	556	DoRothEA
ZHX1	1348	DoRothEA
ZHX2	668	DoRothEA
ZHX3	552	DoRothEA
ZIC1	895	DoRothEA
ZIC2	124	DoRothEA
ZIC3	949	DoRothEA
ZIC4	476	DoRothEA
ZIC5	131	DoRothEA
ZIK1	101	DoRothEA
ZIM3	417	DoRothEA
ZKSCAN1	1199	DoRothEA
ZKSCAN2	195	DoRothEA
ZKSCAN3	155	DoRothEA
ZKSCAN4	243	DoRothEA
ZKSCAN5	388	DoRothEA
ZKSCAN7	167	DoRothEA
ZKSCAN8	400	DoRothEA
ZNF10	200	DoRothEA
ZNF100	97	DoRothEA
ZNF101	356	DoRothEA
ZNF107	129	DoRothEA
ZNF112	72	DoRothEA
ZNF117	191	DoRothEA
ZNF121	837	DoRothEA
ZNF124	231	DoRothEA
ZNF131	667	DoRothEA
ZNF132	132	DoRothEA
ZNF133	466	DoRothEA
ZNF134	605	DoRothEA
ZNF135	234	DoRothEA
ZNF136	648	DoRothEA
ZNF138	407	DoRothEA
ZNF14	115	DoRothEA
ZNF140	738	DoRothEA
ZNF141	310	DoRothEA
ZNF142	535	DoRothEA
ZNF143	1544	DoRothEA
ZNF146	1195	DoRothEA
ZNF148	674	DoRothEA
ZNF154	56	DoRothEA
ZNF155	80	DoRothEA
ZNF16	299	DoRothEA
ZNF160	202	DoRothEA
ZNF165	268	DoRothEA
ZNF169	280	DoRothEA
ZNF17	79	DoRothEA
ZNF174	349	DoRothEA
ZNF175	671	DoRothEA
ZNF18	897	DoRothEA
ZNF180	312	DoRothEA
ZNF181	164	DoRothEA
ZNF182	385	DoRothEA
ZNF184	275	DoRothEA
ZNF189	86	DoRothEA
ZNF19	180	DoRothEA
ZNF195	677	DoRothEA
ZNF197	775	DoRothEA
ZNF2	204	DoRothEA
ZNF200	250	DoRothEA
ZNF202	608	DoRothEA
ZNF205	536	DoRothEA
ZNF208	24	DoRothEA
ZNF211	175	DoRothEA
ZNF212	301	DoRothEA
ZNF213	462	DoRothEA
ZNF214	628	DoRothEA
ZNF215	313	DoRothEA
ZNF217	717	DoRothEA
ZNF219	461	DoRothEA
ZNF22	451	DoRothEA
ZNF221	32	DoRothEA
ZNF222	30	DoRothEA
ZNF223	13	DoRothEA
ZNF224	467	DoRothEA
ZNF225	177	DoRothEA
ZNF226	304	DoRothEA
ZNF227	220	DoRothEA
ZNF229	42	DoRothEA
ZNF23	150	DoRothEA
ZNF230	85	DoRothEA
ZNF232	50	DoRothEA
ZNF233	39	DoRothEA
ZNF234	205	DoRothEA
ZNF235	44	DoRothEA
ZNF236	362	DoRothEA
ZNF239	636	DoRothEA
ZNF24	1095	DoRothEA
ZNF248	402	DoRothEA
ZNF25	815	DoRothEA
ZNF250	652	DoRothEA
ZNF251	429	DoRothEA
ZNF253	156	DoRothEA
ZNF254	186	DoRothEA
ZNF256	42	DoRothEA
ZNF257	434	DoRothEA
ZNF26	521	DoRothEA
ZNF260	736	DoRothEA
ZNF263	3820	DoRothEA
ZNF264	663	DoRothEA
ZNF266	107	DoRothEA
ZNF267	677	DoRothEA
ZNF268	307	DoRothEA
ZNF273	246	DoRothEA
ZNF274	1019	DoRothEA
ZNF275	309	DoRothEA
ZNF276	810	DoRothEA
ZNF277	782	DoRothEA
ZNF28	403	DoRothEA
ZNF280B	86	DoRothEA
ZNF280C	358	DoRothEA
ZNF280D	648	DoRothEA
ZNF281	770	DoRothEA
ZNF282	820	DoRothEA
ZNF283	222	DoRothEA
ZNF284	85	DoRothEA
ZNF285	77	DoRothEA
ZNF286A	269	DoRothEA
ZNF286B	15	DoRothEA
ZNF287	507	DoRothEA
ZNF292	401	DoRothEA
ZNF296	629	DoRothEA
ZNF3	443	DoRothEA
ZNF30	201	DoRothEA
ZNF300	287	DoRothEA
ZNF302	204	DoRothEA
ZNF304	70	DoRothEA
ZNF311	198	DoRothEA
ZNF316	490	DoRothEA
ZNF317	798	DoRothEA
ZNF319	364	DoRothEA
ZNF32	821	DoRothEA
ZNF320	625	DoRothEA
ZNF322	819	DoRothEA
ZNF324	707	DoRothEA
ZNF324B	324	DoRothEA
ZNF329	510	DoRothEA
ZNF331	528	DoRothEA
ZNF333	447	DoRothEA
ZNF334	222	DoRothEA
ZNF335	950	DoRothEA
ZNF337	158	DoRothEA
ZNF33A	523	DoRothEA
ZNF33B	483	DoRothEA
ZNF34	227	DoRothEA
ZNF341	877	DoRothEA
ZNF343	366	DoRothEA
ZNF345	313	DoRothEA
ZNF347	156	DoRothEA
ZNF35	572	DoRothEA
ZNF350	530	DoRothEA
ZNF354A	755	DoRothEA
ZNF354B	392	DoRothEA
ZNF354C	360	DoRothEA
ZNF358	660	DoRothEA
ZNF362	643	DoRothEA
ZNF366	242	DoRothEA
ZNF37A	226	DoRothEA
ZNF382	640	DoRothEA
ZNF383	223	DoRothEA
ZNF384	1665	DoRothEA
ZNF391	238	DoRothEA
ZNF394	734	DoRothEA
ZNF396	332	DoRothEA
ZNF397	413	DoRothEA
ZNF398	365	DoRothEA
ZNF404	172	DoRothEA
ZNF407	436	DoRothEA
ZNF408	455	DoRothEA
ZNF41	834	DoRothEA
ZNF410	550	DoRothEA
ZNF414	746	DoRothEA
ZNF415	104	DoRothEA
ZNF416	138	DoRothEA
ZNF417	122	DoRothEA
ZNF418	527	DoRothEA
ZNF419	80	DoRothEA
ZNF420	182	DoRothEA
ZNF423	1148	DoRothEA
ZNF425	192	DoRothEA
ZNF426	98	DoRothEA
ZNF429	153	DoRothEA
ZNF43	201	DoRothEA
ZNF430	289	DoRothEA
ZNF431	320	DoRothEA
ZNF432	298	DoRothEA
ZNF433	44	DoRothEA
ZNF436	440	DoRothEA
ZNF438	528	DoRothEA
ZNF439	115	DoRothEA
ZNF44	162	DoRothEA
ZNF440	415	DoRothEA
ZNF441	194	DoRothEA
ZNF442	30	DoRothEA
ZNF443	131	DoRothEA
ZNF444	564	DoRothEA
ZNF445	433	DoRothEA
ZNF446	415	DoRothEA
ZNF449	597	DoRothEA
ZNF45	293	DoRothEA
ZNF451	572	DoRothEA
ZNF454	39	DoRothEA
ZNF460	184	DoRothEA
ZNF461	147	DoRothEA
ZNF462	137	DoRothEA
ZNF467	573	DoRothEA
ZNF468	402	DoRothEA
ZNF469	492	DoRothEA
ZNF470	60	DoRothEA
ZNF471	336	DoRothEA
ZNF48	483	DoRothEA
ZNF480	221	DoRothEA
ZNF483	275	DoRothEA
ZNF484	178	DoRothEA
ZNF485	391	DoRothEA
ZNF487	299	DoRothEA
ZNF490	422	DoRothEA
ZNF491	151	DoRothEA
ZNF493	174	DoRothEA
ZNF496	416	DoRothEA
ZNF497	340	DoRothEA
ZNF500	286	DoRothEA
ZNF501	146	DoRothEA
ZNF502	439	DoRothEA
ZNF506	331	DoRothEA
ZNF507	471	DoRothEA
ZNF510	281	DoRothEA
ZNF511	725	DoRothEA
ZNF512	455	DoRothEA
ZNF512B	552	DoRothEA
ZNF513	791	DoRothEA
ZNF514	147	DoRothEA
ZNF516	270	DoRothEA
ZNF517	628	DoRothEA
ZNF518A	421	DoRothEA
ZNF518B	242	DoRothEA
ZNF519	385	DoRothEA
ZNF521	674	DoRothEA
ZNF524	837	DoRothEA
ZNF525	163	DoRothEA
ZNF526	280	DoRothEA
ZNF527	174	DoRothEA
ZNF528	520	DoRothEA
ZNF529	443	DoRothEA
ZNF530	183	DoRothEA
ZNF532	352	DoRothEA
ZNF536	308	DoRothEA
ZNF540	238	DoRothEA
ZNF541	85	DoRothEA
ZNF543	39	DoRothEA
ZNF544	146	DoRothEA
ZNF546	311	DoRothEA
ZNF547	478	DoRothEA
ZNF548	209	DoRothEA
ZNF549	546	DoRothEA
ZNF550	103	DoRothEA
ZNF551	61	DoRothEA
ZNF552	275	DoRothEA
ZNF554	676	DoRothEA
ZNF555	52	DoRothEA
ZNF556	245	DoRothEA
ZNF557	194	DoRothEA
ZNF558	326	DoRothEA
ZNF559	121	DoRothEA
ZNF561	418	DoRothEA
ZNF562	441	DoRothEA
ZNF563	536	DoRothEA
ZNF565	46	DoRothEA
ZNF566	137	DoRothEA
ZNF567	132	DoRothEA
ZNF568	174	DoRothEA
ZNF569	300	DoRothEA
ZNF57	214	DoRothEA
ZNF570	133	DoRothEA
ZNF571	137	DoRothEA
ZNF572	105	DoRothEA
ZNF573	121	DoRothEA
ZNF574	284	DoRothEA
ZNF575	517	DoRothEA
ZNF576	888	DoRothEA
ZNF577	208	DoRothEA
ZNF578	8	DoRothEA
ZNF579	360	DoRothEA
ZNF580	480	DoRothEA
ZNF581	508	DoRothEA
ZNF582	460	DoRothEA
ZNF583	86	DoRothEA
ZNF584	766	DoRothEA
ZNF585A	243	DoRothEA
ZNF585B	159	DoRothEA
ZNF586	521	DoRothEA
ZNF587	295	DoRothEA
ZNF589	589	DoRothEA
ZNF592	629	DoRothEA
ZNF594	194	DoRothEA
ZNF595	85	DoRothEA
ZNF596	212	DoRothEA
ZNF597	77	DoRothEA
ZNF599	287	DoRothEA
ZNF600	78	DoRothEA
ZNF605	200	DoRothEA
ZNF606	263	DoRothEA
ZNF607	167	DoRothEA
ZNF610	134	DoRothEA
ZNF611	218	DoRothEA
ZNF613	104	DoRothEA
ZNF614	175	DoRothEA
ZNF615	196	DoRothEA
ZNF616	261	DoRothEA
ZNF618	536	DoRothEA
ZNF619	279	DoRothEA
ZNF620	27	DoRothEA
ZNF621	308	DoRothEA
ZNF623	380	DoRothEA
ZNF624	284	DoRothEA
ZNF626	106	DoRothEA
ZNF627	191	DoRothEA
ZNF628	284	DoRothEA
ZNF629	587	DoRothEA
ZNF639	1153	DoRothEA
ZNF641	288	DoRothEA
ZNF644	1030	DoRothEA
ZNF646	430	DoRothEA
ZNF649	318	DoRothEA
ZNF652	146	DoRothEA
ZNF653	469	DoRothEA
ZNF654	424	DoRothEA
ZNF655	646	DoRothEA
ZNF658	124	DoRothEA
ZNF660	81	DoRothEA
ZNF662	344	DoRothEA
ZNF664	699	DoRothEA
ZNF665	93	DoRothEA
ZNF667	524	DoRothEA
ZNF668	512	DoRothEA
ZNF669	114	DoRothEA
ZNF670	56	DoRothEA
ZNF671	73	DoRothEA
ZNF672	540	DoRothEA
ZNF674	145	DoRothEA
ZNF675	371	DoRothEA
ZNF676	16	DoRothEA
ZNF677	121	DoRothEA
ZNF678	354	DoRothEA
ZNF680	802	DoRothEA
ZNF681	176	DoRothEA
ZNF682	109	DoRothEA
ZNF683	236	DoRothEA
ZNF684	227	DoRothEA
ZNF687	480	DoRothEA
ZNF689	452	DoRothEA
ZNF69	257	DoRothEA
ZNF691	454	DoRothEA
ZNF692	747	DoRothEA
ZNF696	266	DoRothEA
ZNF697	115	DoRothEA
ZNF699	260	DoRothEA
ZNF7	379	DoRothEA
ZNF70	304	DoRothEA
ZNF700	513	DoRothEA
ZNF701	221	DoRothEA
ZNF707	384	DoRothEA
ZNF708	610	DoRothEA
ZNF71	267	DoRothEA
ZNF710	378	DoRothEA
ZNF711	432	DoRothEA
ZNF713	86	DoRothEA
ZNF714	170	DoRothEA
ZNF717	221	DoRothEA
ZNF718	38	DoRothEA
ZNF721	317	DoRothEA
ZNF726	169	DoRothEA
ZNF736	343	DoRothEA
ZNF737	131	DoRothEA
ZNF74	435	DoRothEA
ZNF740	961	DoRothEA
ZNF746	495	DoRothEA
ZNF749	206	DoRothEA
ZNF75A	202	DoRothEA
ZNF75D	274	DoRothEA
ZNF76	1242	DoRothEA
ZNF761	236	DoRothEA
ZNF763	123	DoRothEA
ZNF764	143	DoRothEA
ZNF765	111	DoRothEA
ZNF766	569	DoRothEA
ZNF768	921	DoRothEA
ZNF77	51	DoRothEA
ZNF770	1361	DoRothEA
ZNF771	405	DoRothEA
ZNF772	115	DoRothEA
ZNF773	60	DoRothEA
ZNF774	264	DoRothEA
ZNF775	931	DoRothEA
ZNF776	204	DoRothEA
ZNF777	388	DoRothEA
ZNF778	428	DoRothEA
ZNF780A	210	DoRothEA
ZNF780B	357	DoRothEA
ZNF781	247	DoRothEA
ZNF782	115	DoRothEA
ZNF784	385	DoRothEA
ZNF785	462	DoRothEA
ZNF786	267	DoRothEA
ZNF787	657	DoRothEA
ZNF788	116	DoRothEA
ZNF789	598	DoRothEA
ZNF79	164	DoRothEA
ZNF790	91	DoRothEA
ZNF791	376	DoRothEA
ZNF792	156	DoRothEA
ZNF793	290	DoRothEA
ZNF799	113	DoRothEA
ZNF8	572	DoRothEA
ZNF800	773	DoRothEA
ZNF805	120	DoRothEA
ZNF808	184	DoRothEA
ZNF81	357	DoRothEA
ZNF813	143	DoRothEA
ZNF814	292	DoRothEA
ZNF816	572	DoRothEA
ZNF823	168	DoRothEA
ZNF827	239	DoRothEA
ZNF829	76	DoRothEA
ZNF83	683	DoRothEA
ZNF835	169	DoRothEA
ZNF836	113	DoRothEA
ZNF837	369	DoRothEA
ZNF84	346	DoRothEA
ZNF841	414	DoRothEA
ZNF844	85	DoRothEA
ZNF845	233	DoRothEA
ZNF846	438	DoRothEA
ZNF85	571	DoRothEA
ZNF853	512	DoRothEA
ZNF860	132	DoRothEA
ZNF879	162	DoRothEA
ZNF880	47	DoRothEA
ZNF883	45	DoRothEA
ZNF891	241	DoRothEA
ZNF90	243	DoRothEA
ZNF91	451	DoRothEA
ZNF92	616	DoRothEA
ZNF93	58	DoRothEA
ZNFX1	646	DoRothEA
ZSCAN1	129	DoRothEA
ZSCAN12	208	DoRothEA
ZSCAN16	173	DoRothEA
ZSCAN2	123	DoRothEA
ZSCAN20	106	DoRothEA
ZSCAN21	52	DoRothEA
ZSCAN22	613	DoRothEA
ZSCAN25	364	DoRothEA
ZSCAN26	351	DoRothEA
ZSCAN29	433	DoRothEA
ZSCAN30	308	DoRothEA
ZSCAN31	492	DoRothEA
ZSCAN32	40	DoRothEA
ZSCAN4	406	DoRothEA
ZSCAN5A	479	DoRothEA
ZSCAN9	201	DoRothEA
ZXDA	159	DoRothEA
ZXDB	241	DoRothEA
ZXDC	365	DoRothEA
